Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Fuster-Guilló, Andrés; Azorín-López, Jorge; Saval-Calvo, Marcelo; Castillo-Zaragoza, Juan Miguel; Garcia-D’Urso, Nahuel; Fisher, Robert B; ","Rgb-d-based framework to acquire, visualize and measure the human body for dietetic treatments",Sensors,20,13,3690,2020,MDPI
"Azorin-Lopez, Jorge; Fuster-Guilló, Andrés; Saval-Calvo, Marcelo; Villena Martínez, Victor; Castillo Zaragoza, Juan Miguel; García D’Urso, Nahuel Emiliano; Manchón Martínez, Cayetano; Ferrer-Cascales, Rosario; Pérez Pérez, Luis Fernando; Zaragoza Martí, Ana; ",Tech4DModelviewer,,,,,2021,
"Garcia-D’Urso, Nahuel E; Azorin-Lopez, Jorge; Fuster-Guillo, Andres; ",A Template-Based Method for Automatic Anthropometric Measurements from Multiple 3D Scans,Proceedings of the International Conference on Ubiquitous Computing & Ambient Intelligence (UCAmI 2022),,,157-168,2022,Springer
"Azorin-Lopez, Jorge; Fuster-Guilló, Andrés; Saval-Calvo, Marcelo; Villena Martínez, Víctor; Castillo Zaragoza, Juan Miguel; Garcia-d’Urso, Nahuel; Manchón Martínez, Cayetano; Ferrer-Cascales, Rosario; Zaragoza Martí, Ana; Sebban, Marc; ",Tech4DScanserver,,,,,2021,
"Rumbo-Rodríguez, Lorena; Sánchez-SanSegundo, Miriam; Ferrer-Cascales, Rosario; García-D’Urso, Nahuel; Hurtado-Sánchez, Jose A; Zaragoza-Martí, Ana; ",Comparison of body scanner and manual anthropometric measurements of body shape: a systematic review,International journal of environmental research and public health,18,12,6213,2021,MDPI
"García-D’urso, Nahuel; Climent-Pérez, Pau; Sánchez-Sansegundo, Miriam; Zaragoza-Martí, Ana; Fuster-Guilló, Andrés; Azorín-López, Jorge; ",A non-invasive approach for total cholesterol level prediction using machine learning,IEEE Access,10,,58566-58577,2022,IEEE
"Climent-Pérez, Pau; Galán-Cuenca, Alejandro; García-d’Urso, Nahuel Emiliano; Saval-Calvo, Marcelo; Azorin-Lopez, Jorge; Fuster-Guillo, Andres; ",Automatic Fish Size Estimation from Uncalibrated Fish Market Images Using Computer Vision and Deep Learning,"17th International Conference on Soft Computing Models in Industrial and Environmental Applications (SOCO 2022) Salamanca, Spain, September 5–7, 2022, Proceedings",,,319-329,2022,Springer
"Garcia-D'Urso, Nahuel E; Galan-Cuenca, Alejandro; Climent-Pérez, Pau; Saval-Calvo, Marcelo; Azorin-Lopez, Jorge; Fuster-Guillo, Andres; ",Efficient instance segmentation using deep learning for species identification in fish markets,2022 International Joint Conference on Neural Networks (IJCNN),,,1,2022,IEEE
"Azorin-Lopez, Jorge; Fuster-Guilló, Andrés; Saval-Calvo, Marcelo; Castillo Zaragoza, Juan Miguel; Garcia-d’Urso, Nahuel; Pérez Pérez, Luis Fernando; Zaragoza Martí, Ana; Hurtado-Sánchez, José Antonio; Sanchez-SanSegundo, Miriam; Ruiz-Robledillo, Nicolás; ",Tech4DModelviewerRV,,,,,2021,
"Garcia-d’Urso, Nahuel; ",Análisis de la evolución morfológica del cuerpo y los datos clínicos de pacientes en tratamiento dietético nutricional,,,,,2021,
"Garcia-d’Urso, Nahuel; Galan-Cuenca, Alejandro; Pérez-Sánchez, Paula; Climent-Pérez, Pau; Fuster-Guillo, Andres; Azorin-Lopez, Jorge; Saval-Calvo, Marcelo; Guillén-Nieto, Juan Eduardo; Soler-Capdepón, Gabriel; ","The DeepFish computer vision dataset for fish instance segmentation, classification, and size estimation",Scientific Data,9,1,287,2022,Nature Publishing Group UK London
"Garcıa-d’Urso, Nahuel Emiliano; Saval-Calvo, Marcelo; Azorin-Lopez, Jorge; Fuster-Guillo, Andres; ",Automatic Fish Size Estimation from Uncalibrated Fish Market Images Using Computer Vision and Deep Learning,"17th International Conference on Soft Computing Models in Industrial and Environmental Applications (SOCO 2022): Salamanca, Spain, September 5–7, 2022, Proceedings",531,6,319,2022,Springer Nature
"Garcia-D’Urso, Nahuel; Galan-Cuenca, Alejandro; Manchon-Pernis, Cayetano; Fuster-Guillo, Andres;  Azorin-Lopez, Jorge",Arquitectura de visión 3D para medición y visualización del cuerpo humano,"Avances en arquitectura y tecnología de computadores, Jornadas SARTECO 20/21",,6213,,2021,CEDI
"Garcia-D’Urso, Nahuel;  Azorin-Lopez, Jorge; Fuster-Guillo, Andres",Obtención de medidas antropométricas a partir de modelos 3D de cuerpos humanos,Jornadas de Computación Empotrada y Reconfigurable: Computación reconfigurable y SoC,,,,2022,JCER
